"","species","mean_wal_score"
"302","Albizia_schimperiana",0.200525423728814
"303","Albizia_subdimidiata",0.3168671875
"304","Albizia_tanganyicensis",0.15728125
"305","Albizia_versicolor",0.158990566037736
"306","Aldina_heterophylla",0.125
"307","Aldina_latifolia",0.366073684210526
"308","Alexa_grandiflora",0.125
"309","Alexa_imperatricis",0.153
"310","Alhagi_maurorum",0.162884393063584
"311","Almaleea_paludosa",0.0322091503267974
"312","Alysicarpus_bupleurifolius",0.222815028901734
"313","Alysicarpus_glumaceus",0.111426195426195
"314","Alysicarpus_monilifer",0.419108910891089
"315","Alysicarpus_ovalifolius",0.0685984063745021
"316","Alysicarpus_rugosus",0.132993902439025
"317","Alysicarpus_vaginalis",0.219054401582592
"318","Alysicarpus_zeyheri",0.143151162790698
"319","Amblygonocarpus_andongensis",0.155025316455696
"320","Amburana_cearensis",0.0966478873239437
"321","Amicia_zygomeris",0.179175853018373
"322","Ammopiptanthus_mongolicus",0.17325
"323","Amorpha_californica",0.0488938307030129
"324","Amorpha_canescens",0.0188749076582123
"325","Amorpha_fruticosa",0.0912950024740228
"326","Amorpha_herbacea",0.0420625
"327","Amorpha_nana",0.0164761904761905
"328","Amphicarpaea_bracteata",0.0289320886559668
"329","Amphithalea_ericifolia",0.23
"330","Anadenanthera_colubrina",0.108865525672371
"331","Anadenanthera_peregrina",0.173735074626865
"332","Anagyris_foetida",0.147057444314186
"333","Andira_anthelmia",0.129763157894737
"334","Andira_coriacea",0.0819615384615385
"335","Andira_fraxinifolia",0.111678244972578
"336","Andira_inermis",0.263023174157303
"337","Andira_legalis",0.096
"338","Andira_micrantha",0.152
"339","Andira_nitida",0.09325
"340","Andira_parviflora",0.125
"341","Andira_surinamensis",0.405945736434109
"342","Andira_unifoliolata",0.125
"343","Anthyllis_barba-jovis",0.11757
"344","Anthyllis_cornicina",0.136814606741573
"345","Anthyllis_cytisoides",0.150909486348913
"346","Anthyllis_lotoides",0.129174269005848
"347","Anthyllis_montana",0.125195502601107
"348","Anthyllis_vulneraria",0.103279315157948
"349","Antopetitia_abyssinica",0.16272049689441
"350","Aotus_ericoides",0.0243124999999999
"351","Aotus_lanigera",0.0404227272727273
"352","Aotus_tietkensii",0.053
"353","Apios_americana",0.0336613586312045
"354","Apios_carnea",0.563338624338624
"355","Apuleia_leiocarpa",0.187119828815977
"356","Arachis_batizocoi",0.174459016393443
"357","Arachis_burkartii",0.0963167701863354
"358","Arachis_cardenasii",0.182754716981132
"359","Arachis_diogoi",0.108745098039216
"360","Arachis_duranensis",0.118551020408163
"361","Arachis_glabrata",0.0894857142857145
"362","Arachis_helodes",0.056
"363","Arachis_hypogaea",0.349306038426349
"364","Arachis_monticola",0.076
"365","Arachis_pintoi",0.28116192560175
"366","Arachis_prostrata",0.0811277533039647
"367","Arachis_pusilla",0.0892173913043478
"368","Arachis_stenosperma",0.0748170731707317
"369","Arachis_villosa",0.0855277777777778
"370","Archidendron_bigeminum",0.671884615384615
"371","Archidendron_bubalinum",0.3782
"372","Archidendron_clypearia",0.47690635451505
"373","Archidendron_ellipticum",0.369466165413534
"374","Archidendron_jiringa",0.362083333333333
"375","Archidendron_lucidum",0.224633064516129
"376","Archidendron_scutiferum",0.72
"377","Archidendron_utile",0.37304
"378","Archidendropsis_basaltica",0.043
"379","Archidendropsis_thozetiana",0.043
"380","Argyrolobium_amplexicaule",0.0954482758620689
"381","Argyrolobium_biebersteinii",0.220471264367816
"382","Argyrolobium_harveyanum",0.0932086330935251
"383","Argyrolobium_lunare",0.23
"384","Argyrolobium_molle",0.160145299145299
"385","Argyrolobium_pauciflorum",0.09425
"386","Argyrolobium_roseum",0.382493150684932
"387","Argyrolobium_rupestre",0.120553571428571
"388","Argyrolobium_speciosum",0.0729868421052632
"389","Argyrolobium_stipulaceum",0.0932837837837838
"390","Argyrolobium_tomentosum",0.117196581196581
