"","species","intrdcd.x","mean_wal_score"
"372","Alysicarpus_rugosus",1,0.031
"373","Alysicarpus_vaginalis",0,0.279444277108434
"374","Alysicarpus_vaginalis",1,0.103495677233429
"375","Alysicarpus_zeyheri",0,0.143151162790698
"376","Amblygonocarpus_andongensis",0,0.155025316455696
"377","Amburana_cearensis",0,0.0966478873239437
"378","Amicia_zygomeris",0,0.179175853018373
"379","Ammopiptanthus_mongolicus",0,0.17325
"380","Amorpha_californica",0,0.0488938307030129
"381","Amorpha_canescens",0,0.0187978802070495
"382","Amorpha_canescens",1,0.097
"383","Amorpha_fruticosa",0,0.0332208383961118
"384","Amorpha_fruticosa",1,0.11935608395714
"385","Amorpha_herbacea",0,0.0420625
"386","Amorpha_nana",0,0.0164761904761905
"387","Amphicarpaea_bracteata",0,0.0289320886559668
"388","Amphithalea_ericifolia",0,0.23
"389","Anadenanthera_colubrina",0,0.108865525672371
"390","Anadenanthera_peregrina",0,0.173735074626865
"391","Anagyris_foetida",0,0.147135483870969
"392","Anagyris_foetida",1,0.014
"393","Andira_anthelmia",0,0.129763157894737
"394","Andira_coriacea",0,0.0819615384615385
"395","Andira_fraxinifolia",0,0.111678244972578
"396","Andira_inermis",0,0.26064899713467
"397","Andira_inermis",1,0.381392857142857
"398","Andira_legalis",0,0.096
"399","Andira_micrantha",0,0.152
"400","Andira_nitida",0,0.09325
"401","Andira_parviflora",0,0.125
"402","Andira_surinamensis",0,0.405945736434109
"403","Andira_unifoliolata",0,0.125
"404","Anthyllis_barba-jovis",0,0.118616161616162
"405","Anthyllis_barba-jovis",1,0.014
"406","Anthyllis_cornicina",0,0.136814606741573
"407","Anthyllis_cytisoides",0,0.150909486348913
"408","Anthyllis_lotoides",0,0.129174269005848
"409","Anthyllis_montana",0,0.125195502601107
"410","Anthyllis_vulneraria",0,0.103306299959012
"411","Anthyllis_vulneraria",1,0.0252592592592593
"412","Antopetitia_abyssinica",0,0.16272049689441
"413","Aotus_ericoides",0,0.0243124999999999
"414","Aotus_lanigera",0,0.0404227272727273
"415","Aotus_tietkensii",0,0.053
"416","Apios_americana",0,0.0320605276771857
"417","Apios_americana",1,0.122923076923077
"418","Apios_carnea",0,0.563338624338624
