Species count,Family,Genus,Species,Common Name,Plant Type,Geographic Location,Nectary Location,Ecological Study,Reference,Notes,genus species,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,glaberrium,,small tree,Philippines,leaves glanular-pitted,,Kern and van Steenis 1958,,Viburnum glaberrium,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,koreanum,,,Korea,"petiole-blade junction, stipules",,Pemberton 1990,,Viburnum koreanum,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,opulus,,,,petiolar EFNs,,Zimmermann 1932; Springensguth 1935; Elias 1983; Offenberg 2000; Weber et al. 2012,,Viburnum opulus,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,platyphyllum,,tree,Philippines,lower leaf surface,,Kern and van Steenis 1958,,Viburnum platyphyllum,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,propinquum,,shrub,,"leaf margins, both sides and impressed gland just above the base",,Kern and van Steenis 1958,,Viburnum propinquum,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,rafinesquianum,,,,marginal EFNs,,Weber et al. 2012,,Viburnum rafinesquianum,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,sargentii,,,,"petiole, bud bracts, leaftips",,"Pemberton 1990, 1998; Pemberton and Lee 1996",,Viburnum sargentii,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,setigerum,,,,laminar,,Weber et al. 2012,,Viburnum setigerum,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,spp.,,,,,,Elias 1983,"""most species""",Viburnum spp.,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,stellatomentosum,,Tree,Costa Rica,leaf margin,,"Zamora et al, 2004",,Viburnum stellatomentosum,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,trilobum,,,,petiole efn,,Weber et al. 2012,,Viburnum trilobum,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,venustrum,,Tree,Costa Rica,leaf margin,,"Zamora et al, 2004",,Viburnum venustrum,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,vernicosum,,shrub/small tree,,"leaf underside glanular dotted, distinct gland at base,both sides of the midrib",,Kern and van Steenis 1958,,Viburnum vernicosum,,,,,,,,,,,,,,,,
1,Adoxaceae,Viburnum,wrightii,,,,leaf-blade underside,,Pemberton 1990,,Viburnum wrightii,,,,,,,,,,,,,,,,
1,Alismataceae,Alisma,sp.,,,,,,Schnell Cusset and Quenum 1963,"Included in Dioscoraceae in Schnell Cusset & Quenum
""Inversement, les disques nectarifères sont propres aux
Dicotylédones; chez les Monocotylédones on n'en trouve
que dans les genres Alisma et Dioscorea (2).""[p. 330]
Note 2 reads: ""Faits que l'on peut évidentment rapprocher
d'une part du lien phylogénique couramment admis entre
les Alismatacées et les Polycarpiques, d'autre part des
caractères dicotylédonéens relativement nombreux que
présentent les Dioscoréacées (cf. Emberger 1960 1148-1149).""",Alisma sp.,,,,,,,,,,,,,,,,
1,Amaranthaceae,Iresine,celosia,,herb,Mexico,Spike,,"Díaz-Castelazo and Rico-Gray 2004,  Díaz-Castelazo et al.  2013; Hernandez Otero and Manzano 2013",as I. diffusa in Hernandez Otero and Manzano 2013,Iresine celosia,,,,,,,,,,,,,,,,
1,Anacardiaceae,Anacardium,occidentale,cashew nut,tree,,"leaves, inflorescences, flowers and developing nuts",,Rickson and Rickson 1998,,Anacardium occidentale,,,,,,,,,,,,,,,,
1,Anacardiaceae,Holigarna,arnottiana,,,,lamina of petiole; stipules; bracts,,Zimmermann 1932; Elias 1983,,Holigarna arnottiana,,,,,,,,,,,,,,,,
1,Anacardiaceae,Holigarna,ferruginea,,,,lamina of petiole; stipules; bracts,,Zimmermann 1932; Elias 1983,,Holigarna ferruginea,,,,,,,,,,,,,,,,
1,Anacardiaceae,Holigarna,grahamii,,,,lamina of petiole; stipules; bracts,,Zimmermann 1932; Elias 1983,,Holigarna grahamii,,,,,,,,,,,,,,,,
1,Anacardiaceae,Holigarna,helferi,,,,lamina of petiole; stipules; bracts,,Zimmermann 1932; Elias 1983,,Holigarna helferi,,,,,,,,,,,,,,,,
1,Ancistrocladaceae,Ancistrocladus,sp.,,,,,,Metcalfe 1951 in Koptur 1992,,Ancistrocladus sp.,,,,,,,,,,,,,,,,
1,Annonaceae,Annona,sp.,,,,on fruit,,Koptur 1992,,Annona sp.,,,,,,,,,,,,,,,,
1,Apocynaceae,Allamandra,cathartica,Ap,liana,,leaves,,"Wilkinson, 1979",,Allamandra cathartica,,,,,,,,,,,,,,,,
1,Apocynaceae,Allamandra,neriifolia,Ap,,,leaf axils,,Zimmermann 1932; Elias 1983; Mizell 2004,,Allamandra neriifolia,,,,,,,,,,,,,,,,
1,Apocynaceae,Aspidospema,quebracho-blanco,Ap,tree,South  America,calyx,Lin and Bernardello 1999,Lin and Bernardello 1999,photo in Lin and Bernardello 1999,Aspidospema quebracho-blanco,,,,,,,,,,,,,,,,
1,Apocynaceae,Calotropis,gigantea,As,,,"petiole, leaf",,Govindappa and Ramakrishna 1980,photo in Govindappa and Ramakrisna 1980,Calotropis gigantea,,,,,,,,,,,,,,,,
