"","species","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","median_long","quant95","quant005","num_biome","biome","precip_range","temp_range","nitro_range","genus","fixer","woody","annual","uses_num_uses","Domatia","EFN","abs_med_lat"
"452","Hedysarum_occidentale",384,2850.8,302.3,1067.73177083333,617.5,527.2,166,301.755968169761,263,7.45145845413208,-1.19687502384186,2.83157552247333,2.85208332538605,53.582344,36.991666,43.6312240041667,43.702455,-111.2809725,49.68714675,37.4922805,3,"5",2548.5,8.64833347797394,361.2,"Hedysarum",1,0,0,0,0,0,43.702455
"453","Hedysarum_ferganense",39,607.8,97.9,273.51282051282,233,357.75,179.75,278.821428571429,285,9.26000003814697,-6.55958318710327,0.925320529641634,0.48333340883255,50.816667,37.77,45.0076691025641,46.353868,83.63,48.1872564,38.923,4,"10",509.9,15.8195832252502,178,"Hedysarum",1,1,0,2,0,0,46.353868
"454","Hedysarum_boreale",2312,763.75,184.85,412.7045256745,383,890.5,103.5,311.414155906265,246,11.100625371933,-10.2172913551331,2.25665433932253,3.22708332538605,72,32.354705,50.6523090978374,50.7141185,-113.12353715,68.745412025,37.6264941,7,"5",578.9,21.317916727066,787,"Hedysarum",1,0,0,0,0,0,50.7141185
"455","Hedysarum_caucasicum",170,1501.2,718.8,1188.48823529412,1196.5,658.9,355.25,512.845679012346,534,6.61916670799253,-1.99270831942558,1.89071077679594,1.76875007152558,54.097222,39.42,43.2375537470588,43.2961055,42.302095,43.9507136,42.4783923,2,"4",782.4,8.61187502741811,303.65,"Hedysarum",1,0,0,2,0,0,43.2961055
"456","Hedysarum_alpinum",1932,895,229,494.14783966684,455,947.35,186,454.605734767025,385,4.59999990463257,-9.90833377838135,-1.21631311150207,-0.920833349227905,71.6724,29.6,57.0591057318323,57.7345345,-114.236323,68.2088797,44.03471055,9,"6",666,14.5083336830139,761.35,"Hedysarum",1,0,0,4,0,0,57.7345345
"457","Hedysarum_hedysaroides",4111,1819,274,1116.52586627623,1236,792.35,349,558.096320899336,548,7.0756247997284,-12.7783338546753,-0.398608063097345,1.30624997615814,75.3914,37.07,51.4136930556069,47.003056,10.208178,69.405235,44.380095,5,"5",1545,19.8539586544037,443.35,"Hedysarum",1,0,0,0,0,0,47.003056
"458","Hedysarum_vicioides",249,2254.8,263.4,1254.82329317269,1436,735.75,264.5,492.225663716814,497.5,11.5966665267944,-13.9316663742065,0.53549196738675,2.98749995231628,72.191,27.93,44.2491046144578,36.727917,137.583333,70.7488,31.5715212,6,"4",1991.4,25.528332901001,471.25,"Hedysarum",1,0,0,1,0,0,36.727917
"459","Ebenus_pinnata",116,709.7,244.8,433.513043478261,398,188.9,91.1,139.504854368932,139,18.4449998855591,13.9733334541321,16.3651449120563,16.3791675567627,36.72374,29.51,34.2538225465517,34.8794445,-2.9901385,36.45803575,30.80479175,2,"12",464.9,4.47166643142701,97.8,"Ebenus",1,0,0,0,0,0,34.8794445
"460","Alhagi_maurorum",515,649.4,62.7,317.968932038835,291,253.5,42.25,127.490610328638,118.5,26.1270832061767,8.71291637420654,16.1741909205046,16.0166664123535,49.7,-36.76,25.587183627767,34.828939,35.480773,46.43522,-35.33,9,"13",586.7,17.4141668319702,211.25,"Alhagi",1,1,0,8,0,0,34.828939
"461","Caragana_versicolor",198,627.099999999999,106.4,248.020202020202,194.5,382.5,173,272.821989528796,272,4.83624985218048,-6.11354150772095,-2.07861953004818,-2.82916676998139,43.15,28.17,32.7529090151515,33.085,78,34.1865,28.918,3,"10",520.699999999999,10.9497913599014,209.5,"Caragana",1,1,0,3,0,0,33.085
"462","Caragana_leveillei",29,973.999999999999,395.6,619.827586206897,556,176.2,75.5,126.1,119,16.2483333587646,6.38499984741211,11.6747125674938,12.625,47.31,24.13,36.512052137931,36.651016,112.33,41.36,32.07,4,"4",578.399999999999,9.86333351135251,100.7,"Caragana",1,1,0,0,0,0,36.651016
"463","Caragana_erinacea",80,761.45,313.05,535.7625,558,510.7,149.5,302.6,303,10.014583158493,-0.0641666383482514,5.14989584118593,5.10625004768372,52.05605,26.876096,31.965588275,31.115,99.7526515,38.628,28.646,4,"10",448.4,10.0787497968413,361.2,"Caragana",1,1,0,1,0,0,31.115
"464","Caragana_brevispina",36,1230.25,501.5,852.833333333333,761.5,343.4,207.5,278.485714285714,278,13.5187499523163,1.50208339095115,8.0594907634788,7.66458344459534,34.05,28.1,29.3138891666667,28.7583335,83.66,33.5025,28.42249975,5,"10",728.75,12.0166665613651,135.9,"Caragana",1,1,0,1,0,0,28.7583335
"465","Caragana_aurantiaca",47,807.499999999999,123.7,494.617021276596,493,600.6,120.55,292.5625,241,10.731666469574,-0.227916646003723,5.30664890116833,5.38749980926514,60.717776,31.9,44.9498115106383,42.32,26.96832,59.19595,33.5966369,6,"4",683.799999999999,10.9595831155777,480.05,"Caragana",1,1,0,1,0,0,42.32
"466","Caragana_rosea",158,944.5,366.7,570.164556962025,533,297.4,80.4,148.379746835443,123,15.2779169559479,5.47937502861023,9.98185654663587,9.58749961853027,47.31,25.02,37.7989234493671,39.35,114.707216,41.718,31.4605,6,"4",577.8,9.79854192733764,217,"Caragana",1,1,0,0,0,0,39.35
"467","Caragana_sinica",234,1676.85,524.3,1126.95299145299,1143,289.5,95.65,190.403846153846,186.5,18.7318746566772,8.22812466621399,14.6897970509325,15.3999996185303,55.70571,22.32,32.1098631794872,31.81,113.85,40,25.13749865,5,"4",1152.55,10.5037499904632,193.85,"Caragana",1,1,0,2,0,0,31.81
"468","Caragana_arborescens",9719,817,375,588.497834158416,589,667,182,379.500888585099,353,9.32604146003723,0.273958325386047,4.78429893705021,4.99166679382324,69.976681,-43.633333,54.7028690044552,55.269444,24.418111,61.6709189,45.421681,10,"4",442,9.05208313465119,485,"Caragana",1,1,0,7,0,0,55.269444
"469","Caragana_korshinskii",87,774.1,106.6,372.48275862069,362,259.4,71.6,135.151515151515,106,15.2337496757507,3.07291660308837,7.86977967928196,8.09166717529297,51.033,25.02,39.1756078965517,38.96,108.85,44.4694206,32.599,6,"13",667.5,12.1608330726624,187.8,"Caragana",1,1,0,0,0,0,38.96
"470","Caragana_microphylla",260,713.25,187.9,386.723076923077,329,378.6,92.6,230.580459770115,216.5,12.3916665077209,-1.71375008821487,3.29192308874514,0.793749988079071,57.776942,20.33,44.6425067846154,46.493861,112.494861,51.10016295,34.275,8,"8",525.35,14.1054165959358,286,"Caragana",1,1,0,3,0,0,46.493861
"471","Caragana_frutex",1293,690.4,349.6,529.186388244393,526,480,220.2,326.042533936652,315,9.63666648864746,0.716666650772095,4.95116009736075,4.67916679382324,61.450699,22.35,51.7930309234339,52.04019,50.1679,57.763716,46.7867786,8,"8",340.8,8.91999983787537,259.8,"Caragana",1,1,0,4,0,0,52.04019
"472","Tibetia_himalaica",194,1144.3,377.95,660.876288659794,612,486.4,203.35,339.175324675325,332.5,13.6910413742066,-0.431458331644535,5.16527061728934,4.15208339691162,47.34,24.81,31.3260484226804,30.98959,99.794645,36.9280305,27.66083355,5,"10",766.35,14.1224997058511,283.05,"Tibetia",1,0,0,0,0,0,30.98959
"473","Gueldenstaedtia_verna",619,1094.3,276,550.084006462036,507,429.7,87,260.51832460733,274,15.667917060852,-3.42583320140839,5.90368874344572,7.07083320617676,59.0394,21.9833,42.48267573021,40.77,114.06,52.8468865,30.5534767,11,"4",818.3,19.0937502622604,342.7,"Gueldenstaedtia",1,0,0,1,0,0,40.77
"474","Chesneya_cuneata",69,596.8,103.4,211.072463768116,142,342.5,152.5,241.227272727273,220.5,10.85,-4.72000007629394,3.95404586671055,4.44999980926514,36.63,32.05,35.0895351884058,34.57,76.25,36.58,33.856563,1,"10",493.4,15.570000076294,190,"Chesneya",0,0,0,0,0,0,34.57
"475","Wisteria_floribunda",1934,2086,1078.9,1521.79449922159,1505,563.2,166.6,331.871547848426,309,15.843332862854,8.42916679382324,12.4464387688293,12.4916667938232,55.71043,-39.200503,36.0884898219752,35.732938,137.166667,40.8682172,33.7274999,6,"4",1007.1,7.41416606903075,396.6,"Wisteria",1,1,0,5,0,0,35.732938
"476","Wisteria_brachybotrys",386,2737.45,1477.2,1976.22513089005,1898.5,557.7,183.2,335.594752186589,298,16.7077089309692,10.1556245803833,13.3277268584486,13.1374998092651,43.764972,23.92,34.1900639507772,34.4446805,133.319946,35.87813325,31.685315,3,"4",1260.25,6.55208435058589,374.5,"Wisteria",1,1,0,2,0,0,34.4446805
"477","Wisteria_sinensis",2507,1559.45,605.55,1062.91171749599,1097.5,455.2,90,215.490156143924,185,19.5935417175293,8.97916698455811,14.1227227249459,14.4124999046326,59.20775,-43.554223,33.5419618732349,38.321701,-0.046225,50.6203217,-33.7320886,8,"4",953.9,10.6143747329712,365.2,"Wisteria",1,1,0,5,0,0,38.321701
"478","Wisteria_frutescens",828,1558,905.5,1222.52237001209,1206,547.2,89.2,203.976859504132,153,19.757082939148,9.40958375930786,14.9246019642471,15.2875003814697,48.35972,27.67213,35.9097796219807,35.69154,-84.3928245,42.0534685,30.3284309,5,"4",652.5,10.3474991798401,458,"Wisteria",1,1,0,0,0,0,35.69154
"479","Callerya_cinerea",293,1777.2,796.4,1351.86689419795,1394,657,129.5,294.929824561404,230,23.0908332824707,12.3141664505005,17.3252560010135,17.1041660308838,46.23,4,26.006101668942,25.7,104.87,31.062,20.7295556,8,"1",980.8,10.7766668319702,527.5,"Callerya",1,1,0,2,0,0,25.7
"480","Glycyrrhiza_echinata",698,819.05,237.8,524.340057636888,506.5,416,153,259.965957446808,243,18.5362491607666,5.9677081823349,10.4176152652554,10.3833332061768,55.70571,31.91,46.0243673381089,46.685976,39.087917,51.83185405,34.9969729,4,"8",581.25,12.5685409784317,263,"Glycyrrhiza",1,0,0,4,0,0,46.685976
"481","Glycyrrhiza_glabra",1569,842,207.6,486.741100323625,444,395.6,100,203.405924739792,181,18.4399997711182,5.80000019073486,12.7242637520083,13.2750005722046,58.480508,-37.22694,39.9904704456979,42.05,21.739539,51.1755226,32.0538012,10,"12",634.4,12.6399995803833,295.6,"Glycyrrhiza",1,0,0,9,0,0,42.05
"482","Glycyrrhiza_uralensis",510,546,151.35,355.682352941176,349,405.3,135.4,279.992481203008,291,9.9160415649414,-1.24062498211861,3.25339053689009,2.43750011920929,61.019673,34.72,49.6576722294118,51.68995,81.77421,54.9821163,37.8025,6,"8",394.65,11.15666654706,269.9,"Glycyrrhiza",1,0,0,3,0,0,51.68995
"483","Glycyrrhiza_pallidiflora",87,1058.9,380.1,706.045977011494,701,456.4,74.65,213.8125,155.5,16.437917137146,1.1866667509079,10.0078065354249,9.41666698455811,52.0314,25.02,38.584104816092,39.7,120.92,48.4671091,28.299,8,"4",678.8,15.2512503862381,381.75,"Glycyrrhiza",1,0,0,1,0,0,39.7
"484","Glycyrrhiza_lepidota",4044,756.9,221,447.753895622063,427,376,91,202.623188405797,181,15.7420833587646,2.52916648387909,8.42125793252138,8.14166641235352,54.670278,30.132582,42.8626431962661,42.6859125,-105.2940725,51.1318954,34.78495015,7,"8",535.9,13.2129168748855,285,"Glycyrrhiza",1,0,0,0,0,1,42.6859125
"485","Glycyrrhiza_acanthocarpa",657,506.25,255,339.57012195122,316,201.6,51.4,111.65025466893,107,20.3812494277954,15.0677082538605,17.2512639601056,17.1979169845581,-23.581773,-37.314167,-33.8763102267884,-34.15993,142.08,-30.148487,-36.29504,5,"12",251.25,5.31354117393487,150.2,"Glycyrrhiza",1,0,0,0,0,0,34.15993
"486","Lotus_ucrainicus",346,735,385.2,578.055072463768,573,453.2,189,302.359060402685,292.5,9.72916698455811,1.19749999046326,6.72869566193093,7.42500019073486,61.273609,37.83,50.4630056271676,49.8540355,33.3569705,56.87439975,46.66465525,5,"4",349.8,8.53166699409486,264.2,"Lotus",1,0,0,0,0,0,49.8540355
"487","Lotus_peregrinus",585,778.75,281.1,510.28892733564,510.5,234.5,112.5,168.522388059701,164,20.8877082824707,16.3041667938232,18.7759299195761,18.9604167938232,55.71043,29.635607,32.8155870923077,32.46,35.01947,36.936667,31.53,3,"12",497.65,4.58354148864753,122,"Lotus",1,0,1,0,0,0,32.46
"488","Lotus_ornithopodioides",1945,983.55,349,649.005777310924,633,297,135,197.374841168996,187.5,17.9272916793823,13.0102081775666,15.5582632983432,15.697916507721,57.776942,12.616667,40.184112287455,39.772429,8.626948,43.8607748,36.25,4,"12",634.55,4.91708350181572,162,"Lotus",1,0,1,1,0,0,39.772429
"489","Lotus_halophilus",265,714.2,79,382.731517509728,419,218.6,51,130.475961538462,141.5,23.5708324432373,16.3791664123535,19.5149157334858,19.5750007629395,50.630357,25.16353,32.7059198728302,31.87,34.66,38.53991084,30.618876,4,"12",635.2,7.19166603088376,167.6,"Lotus",1,0,1,0,0,0,31.87
"490","Lotus_discolor",163,1571.8,656.2,1004.1472392638,951,384.8,97.7,204.96855345912,174,21.5333333969116,13.8729166984558,17.3942740387712,17.5499992370605,15.333333,-33.875,-17.0457941533742,-25.5,30.625,9.4966667,-30.8393278,4,"10",915.600000000001,7.66041669845583,287.1,"Lotus",1,0,0,0,0,0,25.5
"491","Lotus_cytisoides",643,878.4,389,621.436170212766,598.5,306.25,134,210.173611111111,201,18.4647920608521,13.1864583492279,16.1749187490196,16.5708332061768,50.795898,17.9275,39.8086624041991,39.749537,8.62413,43.250331,35.822093,4,"12",489.4,5.27833371162419,172.25,"Lotus",1,0,0,0,0,0,39.749537
"492","Lotus_cruentus",2023,606.6,141,287.310430054375,258,164.5,28,71.084194214876,58,23.7708339691162,16.3916664123535,19.8888634947109,19.8291664123535,-15.5,-37.9,-29.4654095773604,-30.14092,139.24423,-23.68103,-34.5804077,5,"13",465.599999999999,7.3791675567627,136.5,"Lotus",1,0,0,0,0,0,30.14092
"493","Lotus_conimbricensis",1116,1198,423,645.939693969397,595,249,119.45,171.485981308411,163,17.6354169845581,12.4979166984558,15.358393348626,15.4083337783813,53.466639,17.17,38.9834400873656,38.382306,-5.234444,43.3380525,35.164702275,4,"12",775,5.1375002861023,129.55,"Lotus",1,0,1,0,0,0,38.382306
"494","Lotus_australis",1451,1108.65,307,710.18487394958,718.5,362.8,69.2,202.000798084597,188,22.6720826148987,9.92833347320557,15.8546627031989,15.6395831108093,51.483333,-41.8,-32.3358066560992,-33.97,148.0736,-22.659372,-37.9201835,7,"4",801.65,12.7437491416931,293.6,"Lotus",1,0,0,0,0,0,33.97
